"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LY96",-0.0804711755385585,3.28937033948489,-2.43576357004037,0.018595523965233,0.100812737433793,-3.56081225946239
"THY1",0.0832117396609857,3.43891785600795,2.433830092855,0.0186839606710629,0.100812737433793,-3.56494072891897
"TGFBR1",-0.0415438492544205,3.46064160970589,-2.40901742019702,0.0198530351400125,0.104139695927124,-3.61769637706903
"NID2",0.12614652988773,3.05082761476811,2.40789526230037,0.0199074307280172,0.104139695927124,-3.62007233250845
"NOTCH2",0.0386999374601262,3.46487669429094,2.4072167216392,0.019940387422508,0.104139695927124,-3.62150859503453
"CCND2",0.0732908417313651,3.51939178920998,2.40711073973523,0.0199455393914647,0.104139695927124,-3.62173289778063
"CTSS",-0.0840547296177894,3.5849916979056,-2.40609819111649,0.0199948216180078,0.104139695927124,-3.6238754933596
"VHL",0.0356414859360057,3.0449455337873,2.396478384388,0.0204685262816775,0.105865137441653,-3.64419636962895
"PPARG",-0.100473554584767,2.84409051900893,-2.39241580203561,0.0206715919964987,0.105865137441653,-3.65275909569258
"TNFSF9",-0.113639603133617,2.4711899886792,-2.39086534453292,0.0207495669385639,0.105865137441653,-3.65602401256991
"CXCL5",-0.148338764088353,2.78748494135468,-2.38691756021176,0.0209493021117483,0.106058047060058,-3.66432969787299
"FPR1",-0.0978500205603829,3.32347646304922,-2.3818699649498,0.021207197239416,0.106058047060058,-3.6749336252322
"HES1",0.0741250301139389,3.19515159978972,2.37939944230338,0.0213344592797353,0.106058047060058,-3.68011726675557
"CLEC7A",-0.0872248312075357,3.21147621438443,-2.37904022899114,0.021353020141425,0.106058047060058,-3.68087061612811
"PALMD",-0.065984898509591,3.12760872893697,-2.37118484677784,0.0217625565954032,0.107381035832582,-3.69732279571429
"CD45RO",-0.0877340777553623,3.23750435901552,-2.36491224510532,0.022094621938236,0.108180860056196,-3.7104293765004
"TSLP",-0.109342646083168,2.70912786133434,-2.3602779839967,0.0223428665683465,0.108180860056196,-3.72009513557813
"NDUFA4L2",0.0982850616479918,3.08830540782391,2.35781301138442,0.0224759245847403,0.108180860056196,-3.72523030007417
"NRAS",0.0290417649374968,3.39241724077209,2.35733851767614,0.0225016188916888,0.108180860056196,-3.7262183067693
"IL10RA",-0.0916177714431146,3.22902948879454,-2.32682516532315,0.024210241772006,0.11565402120385,-3.78942481799928
